1943.962962962963, 29
1946.4421860885277, 101.81707317073142
1948.4396454381213, 183.73628048780392
1950.584406052394, 292.9618902439015
1952.5425700090336, 447.69817073170634
1954.3135727190606, 666.1493902439015
1955.897696476965, 939.2134146341459
1957.5530713640471, 1303.2987804878057
1958.4674232158989, 1676.486280487802
1959.0136630532973, 1976.8567073170725
1960.0710817524844, 2513.8826219512193
1960.8712172538394, 2987.193597560975
1961.521793134598, 3506.0152439024378
1962.0250677506776, 3997.5304878048782
1962.4896115627823, 4543.658536585366
1962.8826219512196, 5007.867378048781
1963.7407407407409, 6000
1963.9182475158086, 5053.378048780488
1963.9498644986452, 4033.939024390244
1964.2048328816622, 2978.0914634146343
1964.38233965673, 2031.4695121951218
1964.5267615176153, 957.417682926829
1965.9994354110208, 47.20426829268399
